brand,model_final,class,group,units,reason,resolved_via,sample_raw
DJI,SPARKFLYMORE MEADOW GREEN,ทั่วไป,ทั่วไป,72,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,SPARKFLYMORE COMBO (EU) MEADOW GREEN
SEGUMO,SGM2016L,เกษตร,เกษตร-ไม่ใช่ DJI,71,ยังไม่รู้ว่าเป็นรุ่นอะไร — ช่องรุ่นเป็นรหัสที่ยังถอดไม่ได้,รหัสที่ถอดไม่ได้,SGM2016L
AUTEL ROBOTICS,EVO,ทั่วไป,ทั่วไป,69,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,EVO
SATI,PANYA V.2-12L,เกษตร,เกษตร-ไม่ใช่ DJI,69,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,PANYA V.2-12L
XIRO,XPLORER V,ทั่วไป,ทั่วไป,68,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,XPLORER V
DJI,MATRICE 400,ทั่วไป,ทั่วไป,67,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,MATRICE 400
DJI,MAVIC 4 PRO 512GB CREATOR,ทั่วไป,ทั่วไป,63,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,L3B (DJI MAVIC 4 PRO 512GB CREATOR COMBO(DJI RC PRO 2)) ;; DJI MAVIC 4 PRO 512GB CREATOR COMBO (DJI RC PRO 2) [L3B (AIRCRAFT)/RC520 (REMOTE CONTROLLER)]
DJI,MATRICE 30T,ทั่วไป,ทั่วไป,61,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,MATRICE 30T ;; M30T / MATRICE 30T ;; MATRICE 30T (M30T TRK)
AGRITECH DRONE,AG-1,เกษตร,เกษตร-ไม่ใช่ DJI,61,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,AG-1
NOVY,NV-10L,เกษตร,เกษตร-ไม่ใช่ DJI,60,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,NV-10L
HUBSAN,ACE PRO,ทั่วไป,ทั่วไป,58,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,ACE PRO
PJ DRONE,PJ1,เกษตร,เกษตร-ไม่ใช่ DJI,57,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,PJ1
DJI MINI 2 FLY MORE COMBO (EU),MT2PD,ทั่วไป,ทั่วไป,57,ยังไม่รู้ว่าเป็นรุ่นอะไร — ช่องรุ่นเป็นรหัสที่ยังถอดไม่ได้,รหัสที่ถอดไม่ได้,MT2PD
MJX,B20 EIS,ทั่วไป,ทั่วไป,56,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,B20 EIS
DJI,PHANTOM 4 PRO V 2.0,ทั่วไป,ทั่วไป,54,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,PHANTOM 4 PRO V 2.0
BUBBLE DRONE,BUMBLE - B,เกษตร,เกษตร-ไม่ใช่ DJI,54,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,BUMBLE - B
FIMI,X8 SE 2020,ทั่วไป,ทั่วไป,54,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,X8 SE 2020
ZHONGKE,D25 / PA DA25,เกษตร,เกษตร-ไม่ใช่ DJI,53,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,D25 / PA DA25
DJI,MAVIC PRO PLATINUM FLYMORE,ทั่วไป,ทั่วไป,52,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,MAVIC PRO PLATINUM FLYMORE COMBO (EU)
POTENSIC,ATOM SE,ทั่วไป,ทั่วไป,52,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,ATOM SE ;; ATOM SE / DSDR048
SKY-MASTER,QH550,ทั่วไป,ทั่วไป,51,ยังไม่รู้ว่าเป็นรุ่นอะไร — ช่องรุ่นเป็นรหัสที่ยังถอดไม่ได้,รหัสที่ถอดไม่ได้,QH550
BUBBLE DRONE,BUMBLE - B2,เกษตร,เกษตร-ไม่ใช่ DJI,51,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,BUMBLE - B2
DJI,MAVIC PRO 2,ทั่วไป,ทั่วไป,48,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,MAVIC PRO 2 ;; MAVIC PRO 2 / L1P
POLADRONE,ORYCTES,เกษตร,เกษตร-ไม่ใช่ DJI,48,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,ORYCTES
NAC DRONE,EASY1,เกษตร,เกษตร-ไม่ใช่ DJI,48,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,EASY1
DJI,M4E,ทั่วไป,ทั่วไป,48,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,M4E
BUG AWAY,BA5L,เกษตร,เกษตร-ไม่ใช่ DJI,47,ยังไม่รู้ว่าเป็นรุ่นอะไร — ช่องรุ่นเป็นรหัสที่ยังถอดไม่ได้,รหัสที่ถอดไม่ได้,BA5L
DJI,MAVIC 2 ENTERPRISE ADVANCED,ทั่วไป,ทั่วไป,47,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,MAVIC 2 ENTERPRISE ADVANCED ;; L1ZE / MAVIC 2 ENTERPRISE ADVANCED ;; L1TE / MAVIC 2 ENTERPRISE ADVANCED
HUBSAN,H216A,ทั่วไป,ทั่วไป,46,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,H216A
NAC DRONE,NT20P,เกษตร,เกษตร-ไม่ใช่ DJI,45,ยังไม่รู้ว่าเป็นรุ่นอะไร — ช่องรุ่นเป็นรหัสที่ยังถอดไม่ได้,รหัสที่ถอดไม่ได้,NT20P
DJI,AGRAS T55,เกษตร,เกษตร-DJI,43,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,AGRAS T55 (3WWDZ-U50C)
SWELLPRO,SPLASHDRONE 4,ทั่วไป,ทั่วไป,43,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,SPLASHDRONE 4
